dataset,transformation,family,claims_edge_count_preservation,snapshots_edge_count_changed,requested_delta,snapshots,snapshots_modified,modified_fraction,last_snapshot_modified,structurally_blocked
decentraland,Bridge Width,structural,True,0,0.1,24,24,1.0,True,False
decentraland,Bridge Width,structural,True,0,-0.1,24,24,1.0,True,False
decentraland,Bridge Width,structural,True,0,0.25,24,24,1.0,True,False
decentraland,Bridge Width,structural,True,0,-0.25,24,24,1.0,True,False
decentraland,Bridge Width,structural,True,0,0.5,24,24,1.0,True,False
decentraland,Bridge Width,structural,True,0,-0.5,24,24,1.0,True,False
decentraland,Centralization,structural,True,0,0.1,24,9,0.375,False,True
decentraland,Centralization,structural,True,0,-0.1,24,24,1.0,True,False
decentraland,Centralization,structural,True,0,0.25,24,9,0.375,False,True
decentraland,Centralization,structural,True,0,-0.25,24,24,1.0,True,False
decentraland,Centralization,structural,True,0,0.5,24,9,0.375,False,True
decentraland,Centralization,structural,True,0,-0.5,24,24,1.0,True,False
decentraland,Density,structural,False,0,0.1,24,24,1.0,True,False
decentraland,Density,structural,False,0,-0.1,24,24,1.0,True,False
decentraland,Density,structural,False,0,0.25,24,24,1.0,True,False
decentraland,Density,structural,False,0,-0.25,24,24,1.0,True,False
decentraland,Density,structural,False,0,0.5,24,24,1.0,True,False
decentraland,Density,structural,False,0,-0.5,24,24,1.0,True,False
decentraland,Bridge Trend,temporal,True,0,0.1,24,23,0.9583333333333334,False,False
decentraland,Bridge Trend,temporal,True,16,-0.1,24,23,0.9583333333333334,False,False
decentraland,Bridge Trend,temporal,True,0,0.25,24,23,0.9583333333333334,False,False
decentraland,Bridge Trend,temporal,True,17,-0.25,24,23,0.9583333333333334,False,False
decentraland,Bridge Trend,temporal,True,3,0.5,24,23,0.9583333333333334,False,False
decentraland,Bridge Trend,temporal,True,18,-0.5,24,23,0.9583333333333334,False,False
decentraland,Churn,temporal,True,0,0.1,24,23,0.9583333333333334,False,False
decentraland,Churn,temporal,True,0,-0.1,24,23,0.9583333333333334,False,False
decentraland,Churn,temporal,True,0,0.25,24,23,0.9583333333333334,False,False
decentraland,Churn,temporal,True,0,-0.25,24,23,0.9583333333333334,False,False
decentraland,Churn,temporal,True,0,0.5,24,23,0.9583333333333334,False,False
decentraland,Churn,temporal,True,0,-0.5,24,23,0.9583333333333334,False,False
